timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,Cluster
1.68063E+12,19,HTTP Request 2 Small,200,OK,Thread Group 1-6,text,true,,102713,126,12,12,http://192.168.56.104/100KB.txt,5,0,0,17
1.68063E+12,58,HTTP Request 3 Small,200,OK,Thread Group 1-7,text,true,,153913,126,12,12,http://192.168.56.104/150KB.txt,11,0,0,17
1.68063E+12,268,HTTP Request 9 Medium,200,OK,Thread Group 1-9,text,true,,1075515,127,12,12,http://192.168.56.104/1100KB.txt,23,0,0,17
1.68063E+12,581,HTTP Request 11 Large ,200,OK,Thread Group 1-11,text,true,,1894715,127,12,12,http://192.168.56.104/1850KB.txt,3,0,0,19
1.68063E+12,219,HTTP Request 8 Medium,200,OK,Thread Group 1-8,text,true,,1075515,127,12,12,http://192.168.56.104/1050KB.txt,18,0,0,17
1.68063E+12,197,HTTP Request 12 Medium,200,OK,Thread Group 1-10,text,true,,1280315,127,12,12,http://192.168.56.104/1250KB.txt,24,0,0,17
1.68063E+12,663,HTTP Request 9 Medium,200,OK,Thread Group 1-12,text,true,,1075516,127,12,12,http://192.168.56.104/1100KB.txt,33,0,2,19
1.68063E+12,173,HTTP Request 1 Medium,200,OK,Thread Group 1-11,text,true,,717113,126,12,12,http://192.168.56.104/700KB.txt,2,0,0,17
1.68063E+12,392,HTTP Request 4 Small,200,OK,Thread Group 1-12,text,true,,205113,126,13,13,http://192.168.56.104/200KB.txt,16,0,0,17
1.68063E+12,249,HTTP Request 3 Small,200,OK,Thread Group 1-8,text,true,,153913,126,13,13,http://192.168.56.104/150KB.txt,50,0,0,17
1.68063E+12,587,HTTP Request 6 Large ,200,OK,Thread Group 1-5,text,true,,1638715,127,13,13,http://192.168.56.104/1600KB.txt,3,0,0,19
1.68063E+12,488,HTTP Request 8 Small,200,OK,Thread Group 1-1,text,true,,409913,126,13,13,http://192.168.56.104/400KB.txt,183,0,0,8
1.68063E+12,625,HTTP Request 7 Large ,200,OK,Thread Group 1-3,text,true,,1689915,127,13,13,http://192.168.56.104/1650KB.txt,14,0,0,19
1.68063E+12,766,HTTP Request 5 Large ,200,OK,Thread Group 1-4,text,true,,1587515,127,13,13,http://192.168.56.104/1550KB.txt,34,0,0,20
1.68063E+12,446,HTTP Request 2 Medium,200,OK,Thread Group 1-7,text,true,,768313,126,13,13,http://192.168.56.104/750KB.txt,21,0,0,17
1.68063E+12,625,HTTP Request 14 Large ,200,OK,Thread Group 1-2,text,true,,2048315,127,13,13,http://192.168.56.104/2000KB.txt,49,0,0,20
1.68063E+12,578,HTTP Request 10 Medium,200,OK,Thread Group 1-6,text,true,,1177915,127,13,13,http://192.168.56.104/1150KB.txt,133,0,0,20
1.68063E+12,703,HTTP Request 11 Small,200,OK,Thread Group 1-13,text,true,,563514,126,13,13,http://192.168.56.104/550KB.txt,92,0,70,4
1.68063E+12,509,HTTP Request 12 Medium,200,OK,Thread Group 1-10,text,true,,1280315,127,13,13,http://192.168.56.104/1250KB.txt,25,0,0,19
1.68063E+12,686,HTTP Request 5 Large ,200,OK,Thread Group 1-9,text,true,,1587515,127,13,13,http://192.168.56.104/1550KB.txt,48,0,0,20
1.68063E+12,28,HTTP Request 5 Small,200,OK,Thread Group 1-5,text,true,,256313,126,13,13,http://192.168.56.104/250KB.txt,13,0,0,17
1.68063E+12,178,HTTP Request 1 Medium,200,OK,Thread Group 1-11,text,true,,717113,126,13,13,http://192.168.56.104/700KB.txt,32,0,0,17
1.68063E+12,431,HTTP Request 4 Medium,200,OK,Thread Group 1-3,text,true,,870713,126,14,14,http://192.168.56.104/850KB.txt,4,0,0,17
1.68063E+12,435,HTTP Request 12 Large ,200,OK,Thread Group 1-1,text,true,,1945915,127,14,14,http://192.168.56.104/1900KB.txt,3,0,0,19
1.68063E+12,415,HTTP Request 11 Medium,200,OK,Thread Group 1-2,text,true,,1229115,127,14,14,http://192.168.56.104/1200KB.txt,8,0,0,19
1.68063E+12,306,HTTP Request 8 Small,200,OK,Thread Group 1-7,text,true,,409913,126,14,14,http://192.168.56.104/400KB.txt,18,0,0,17
1.68063E+12,656,HTTP Request 11 Large ,200,OK,Thread Group 1-4,text,true,,1894715,127,14,14,http://192.168.56.104/1850KB.txt,2,0,0,19
1.68063E+12,539,HTTP Request 7 Large ,200,OK,Thread Group 1-9,text,true,,1689915,127,14,14,http://192.168.56.104/1650KB.txt,4,0,0,19
1.68063E+12,546,HTTP Request 7 Medium,200,OK,Thread Group 1-8,text,true,,1024314,127,14,14,http://192.168.56.104/1000KB.txt,16,0,0,19
1.68063E+12,527,HTTP Request 1 Large ,200,OK,Thread Group 1-6,text,true,,1382715,127,14,14,http://192.168.56.104/1350KB.txt,26,0,0,19
1.68063E+12,89,HTTP Request 6 Small,200,OK,Thread Group 1-11,text,true,,307513,126,14,14,http://192.168.56.104/300KB.txt,25,0,0,17
1.68063E+12,881,HTTP Request 4 Medium,200,OK,Thread Group 1-12,text,true,,870713,126,14,14,http://192.168.56.104/850KB.txt,2,0,0,19
1.68063E+12,514,HTTP Request 5 Large ,200,OK,Thread Group 1-10,text,true,,1587515,127,14,14,http://192.168.56.104/1550KB.txt,12,0,0,19
1.68063E+12,763,HTTP Request 5 Medium,200,OK,Thread Group 1-14,text,true,,921914,126,14,14,http://192.168.56.104/900KB.txt,6,0,3,19
1.68063E+12,100,HTTP Request 12 Medium,200,OK,Thread Group 1-5,text,true,,1280315,127,14,14,http://192.168.56.104/1250KB.txt,14,0,0,17
1.68063E+12,20,HTTP Request 1 Small,200,OK,Thread Group 1-3,text,true,,51511,125,14,14,http://192.168.56.104/50KB.txt,2,0,0,17
1.68063E+12,873,HTTP Request 2 Large ,200,OK,Thread Group 1-13,text,true,,1433915,127,14,14,http://192.168.56.104/1400KB.txt,30,0,0,20
1.68063E+12,50,HTTP Request 2 Medium,200,OK,Thread Group 1-1,text,true,,768313,126,15,15,http://192.168.56.104/750KB.txt,10,0,0,17
1.68063E+12,52,HTTP Request 9 Small,200,OK,Thread Group 1-2,text,true,,461113,126,15,15,http://192.168.56.104/450KB.txt,8,0,0,17
1.68063E+12,103,HTTP Request 7 Small,200,OK,Thread Group 1-8,text,true,,358713,126,15,15,http://192.168.56.104/350KB.txt,39,0,0,17
1.68063E+12,383,HTTP Request 13 Large ,200,OK,Thread Group 1-4,text,true,,1997115,127,15,15,http://192.168.56.104/1950KB.txt,2,0,0,19
1.68063E+12,138,HTTP Request 13 Small,200,OK,Thread Group 1-6,text,true,,665913,126,15,15,http://192.168.56.104/650KB.txt,9,0,0,17
1.68063E+12,429,HTTP Request 7 Small,200,OK,Thread Group 1-12,text,true,,358713,126,15,15,http://192.168.56.104/350KB.txt,3,0,0,17
