 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  97368 186676  13352 291192    0    0     0     0  538  207  0 75 25  0  0
 2  0  97368 186676  13352 291192    0    0     0     0  493  260  0 100  0  0  0
 0  0  97368 187156  13360 291188    0    0     0    16  616  233  0 59 41  0  0
 2  0  97368 185668  13360 291196    0    0     0     0  599  290  1 87 12  0  0
 2  0  97368 186580  13360 291200    0    0     0     0  384  200  0 56 44  0  0
 2  0  97368 185332  13360 291200    0    0     0     0  804  287  0 81 19  0  0
 4  0  97368 186076  13360 291204    0    0     0     0  628  159  0 60 40  0  0
 3  0  97368 186544  13368 291196    0    0     0    16  868  276  0 76 24  0  0
 2  0  97368 186800  13368 291204    0    0     0     0  554  245  0 83 17  0  0
 1  0  97368 186896  13368 291208    0    0     0     0  631  239  0 76 24  0  0
 2  0  97368 186256  13368 291208    0    0     0     0  396  257  0 67 33  0  0
 0  0  97368 187184  13368 291212    0    0     0     0  775  219  0 78 22  0  0
 1  0  97368 186416  13368 291212    0    0     0     8  669  273  0 90 10  0  0
 2  0  97368 186192  13376 291212    0    0     0    24  917  241  0 70 30  0  0
 7  0  97368 184000  13376 291216    0    0     0    56  862  256  0 79 21  0  0
 2  0  97368 186800  13376 291216    0    0     0     0  702  213  0 72 28  0  0
 1  0  97368 186960  13376 291220    0    0     0     0  502  257  0 84 16  0  0
 0  0  97368 187088  13376 291220    0    0     0     0  482  210  0 80 20  0  0
 2  0  97368 185872  13388 291224    0    0     0    36  471  234  0 69 27  4  0
 2  0  97368 183592  13388 291224    0    0     0     0  580  209  0 100  0  0  0
 2  0  97368 186992  13388 291224    0    0     0     0  445  216  0 96  4  0  0
 2  0  97368 185576  13388 291228    0    0     0     0  607  254  0 97  3  0  0
 2  0  97368 187024  13388 291228    0    0     0     0  936  247  0 71 29  0  0
 0  0  97368 187056  13396 291232    0    0     0    40  564  309  0 76 24  0  0
 3  0  97368 184720  13396 291232    0    0     0     0  695  171  0 59 41  0  0
